ID,type,v1性別,v2出生年,v3學歷,v4任教學校類型,v5任教學校地點的所在縣市,v6擔任志工的頻率,v7參與宗教活動（如祈禱、誦經、慶典或參拜儀式等）的頻率,v8練習靜坐、冥想的頻率,v9使用社群網路平台（Facebook、Line、Twitter、We-Chat、Skype等）的頻率,v10是否有意願參加本研究於寒暑假期間辦理的教師心理健康促進工作坊,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,age,aa2,aa4,aa5,aa6,aa7,aa10,aa11,A_score,B_score,C_score,dd01,dd02,dd03,dd04,dd05,dd06,dd07,dd08,dd09,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18,dd19,dd20,dd21,dd22,D_score
1,1,1,63,2,1,1,1,1,1,3,2,3,2,4,1,4,2,1,3,3,2,1,4,4,4,4,4,3,4,2,4,4,4,3,4,4,3,1,2,2,2,1,1,2,1,1,4,3,4,4,4,4,4,4,4,3,1,1,1,1,1,1,2,3,2,2,2,2,1,2,3,1,2,2,1,1,1,1,45,3,4,1,3,4,3,4,51,52,38,0,0,0,0,0,0,1,2,1,1,1,1,0,1,2,0,1,1,0,0,0,0,12
2,1,2,64,3,1,1,1,2,1,3,2,3,2,3,1,2,2,2,3,2,2,2,3,3,3,2,3,2,3,2,2,2,3,2,3,4,3,1,2,3,2,1,1,1,1,1,3,3,2,2,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,2,2,2,44,3,4,3,3,3,3,3,44,42,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,1,1,9
3,1,2,62,3,1,1,1,1,1,3,2,3,2,1,2,1,2,1,3,3,1,2,3,4,4,4,3,3,3,2,3,3,3,3,4,3,3,1,2,3,3,1,2,2,1,1,3,3,4,4,3,3,3,3,3,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,46,3,3,4,3,4,4,3,49,49,32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
4,1,2,80,2,1,1,2,1,1,3,2,2,3,2,2,1,2,1,4,2,2,2,3,3,1,1,4,3,3,3,3,3,3,3,3,3,3,2,2,4,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,3,3,2,4,3,2,2,2,1,2,3,3,2,4,3,3,3,3,28,2,3,4,3,4,3,3,40,54,30,0,1,1,1,2,2,1,3,2,1,1,1,0,1,2,2,1,3,2,2,2,2,33
5,1,1,70,2,1,1,2,1,1,2,2,4,3,2,4,2,3,4,1,4,1,1,2,2,2,2,4,4,4,4,4,1,4,3,2,4,4,1,1,4,1,2,3,2,3,3,4,1,4,3,3,2,4,4,3,3,2,1,3,1,3,4,4,4,4,1,2,2,4,4,4,2,2,4,3,3,4,4,38,2,1,3,2,1,4,4,36,58,31,1,0,2,0,2,3,3,3,3,0,1,1,3,3,3,1,1,3,2,2,3,3,43
6,1,2,54,3,9,2,1,2,1,4,2,2,2,3,2,3,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,54,3,3,2,4,2,3,2,41,60,30,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,9
7,1,9, ,9,1,2,1,1,1,1,1,2,2,3,2,2,2,2,4,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,2,2,3,2,1,1,1,1,1,2,2,2,2,2,1,1,3,3, ,3,3,3,3,3,3,3,44,59,30,1,0,1,0,1,1,2,1,0,0,0,0,0,1,1,1,1,1,0,0,2,2,16
8,1,1,58,2,1,2,1,2,2,4,1,3,2,3,1,1,2,1,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,1,1,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,1,1,1,2,50,3,4,4,3,4,3,3,47,59,29,0,0,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,0,0,1,18
9,1,1,62,2,1,2,1,2,1,4,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,46,2,3,3,2,3,2,3,42,59,32,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,13
10,1,2,62,2,1,2,1,2,1,2,2,3,2,3,2,2,3,1,4,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,4,3,4,3,1,2,1,2,2,2,2,2,2,2,1,2,1,2,4,2,2,2,1,2,2,2,46,3,3,3,2,4,4,4,48,58,32,0,1,0,1,1,1,1,1,1,1,0,1,0,1,3,1,1,1,0,1,1,1,19
11,1,1,58,3,1,2,2,2,4,4,2,4,2,4,2,1,1,2,3,2,3,2,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,4,4,3,4,3,3,4,4,4,4,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,3,2,2,50,3,3,4,4,3,2,3,50,74,37,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,16
12,1,2,58,3,1,2,1,2,1,3,1,3,2,3,3,2,3,2,2,3,2,2,2,2,2,2,3,4,3,3,4,3,2,3,2,3,3,3,2,4,3,3,3,3,3,3,3,2,4,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,50,3,2,3,2,3,3,3,38,60,25,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,28
